Abschluss2steller;Sortierschlüssel;Name;Gültig ab;Gültig bis;Pruefungsgruppe;
39;3525;LA Bachelor Oberstufe / Sekundarstufe II, allgemeinbildende Schulen;20072;99999;35;
40;2020;LA Grundschulen / Sekundarstufe I;20072;99999;20;
41;3005;LA Sekundarstufe II / Sekundarstufe I;20072;99999;30;
42;1550;LA Grundstufe / Primarstufe;20072;99999;15;
43;2535;LA Mittelstufe / Sekundarstufe I;20072;99999;25;
44;3520;LA Oberstufe / Sekundarstufe II, allgemeinbildende Schulen;20072;99999;35;
45;4520;LA Oberstufe / Sekundarstufe II, berufliche Schulen;20072;99999;45;
46;4010;LA Bachelor Sonderschulen / Förderschulen;20072;99999;40;
47;4510;LA Bachelor Berufliche Schulen;20072;99999;45;
48;4525;LA Bachelor Oberstufe / Sekundarstufe II, berufliche Schulen;20072;99999;45;
49;1530;LA Master Grundschulen;20072;99999;15;
50;2504;LA Master Hauptschulen;20222;99999;25;
51;6005;Diplom (FH);20072;99999;60;
52;1560;LA Master Grundstufe / Primarstufe;20072;99999;15;
53;6010;Diplom (FH) - Dolmetscher;20072;99999;60;
54;6015;Diplom (FH) - Übersetzer;20072;99999;60;
55;2015;LA Master Sekundarstufe I / Primarstufe;20072;99999;20;
56;6020;Staatl. Laufbahnprüfung (VerwFH);20072;99999;60;
57;2030;LA Master Grundschulen / Sekundarstufe I;20072;99999;20;
58;2515;LA Master Realschulen;20072;99999;25;
59;6040;Sonstiger FH - Abschluss;20072;99999;60;
60;2530;LA Master Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien;20072;99999;25;
61;2545;LA Master Mittelstufe / Sekundarstufe I;20072;99999;25;
62;3015;LA Master Sekundarstufe II / Sekundarstufe I;20072;99999;30;
63;3530;LA Master Oberstufe / Sekundarstufe II, allgemeinbildende Schulen;20072;99999;35;
64;3515;LA Master Gymnasien;20072;99999;35;
65;4015;LA Master Sonderschulen / Förderschulen;20072;99999;40;
66;4515;LA Master Berufliche Schulen;20072;99999;45;
67;4530;LA Master Oberstufe / Sekundarstufe II, berufliche Schulen;20072;99999;45;
68;0510;Mehr-Fächer-Bachelor ohne Lehramtsoption ;20102;99999;05;
69;0515;Mehr-Fächer-Master;20102;99999;05;
70;5540;Staatl. Prüfung für künstlerische Abschlüsse;20072;99999;55;
71;5515;Bühnen- / Konzert- / Opernreifeprüfung;20072;99999;55;
72;5520;Privatmusiklehrerprüfung;20072;99999;55;
73;5525;Kirchenmusikprüfung A;20072;99999;55;
74;5530;Kirchenmusikprüfung B;20072;99999;55;
75;5505;Diplom (KH);20072;99999;55;
76;5545;Meisterschüler;20072;99999;55;
77;5550;Kunstpädagogische Prüfung;20072;99999;55;
78;0575;Master (U) - Lehrer;20072;99999;05;
79;5535;Solistenprüfung;20072;99999;55;
80;5555;Sonstiger künstlerischer Abschluss;20072;99999;55;
81;5510;Akademiebrief (KH);20072;99999;55;
82;0585;Bachelor an Universitäten;20072;99999;05;
83;5560;Bachelor an Kunsthochschulen;20072;99999;55;
84;6025;Bachelor an Fachhochschulen;20072;99999;60;
86;6517;Bachelor o. Ä. noch nicht abgeschlossen;20122;99999;65;
87;6513;Abschlüsse von Berufsakademien, die ersten berufsbefähigenden Abschlüssen gleichgestellt sind;20112;99999;65;
88;0595;Master an Universitäten (Abschlussprüfung vorausgesetzt);20072;99999;05;
89;5570;Master an Kunsthochschulen (Abschlussprüfung vorausgesetzt);20072;99999;55;
90;6035;Master an Fachhochschulen (Abschlussprüfung vorausgesetzt);20072;99999;60;
91;1015;Strukturiertes Promotionsstudium;20072;99999;10;
92;1010;Promotion nach FH-Abschluss bzw. wiss. Kurzstudium;20072;99999;10;
93;0570;Bachelor (U) - Lehrer;20072;99999;05;
94;6505;Abschlusszeugnis / Zertifikat;20072;99999;65;
95;6510;Sonstiger Abschluss in Deutschland;20072;99999;65;
96;6515;Abschlussprüfung im Ausland;20072;99999;65;
97;6520;Keine Abschlussprüfung möglich bzw. angestrebt;20072;99999;65;
98;2002;LA Bachelor Grund- und Hauptschulen;20222;99999;20;
99;2004;LA Master Grund- und Hauptschulen;20222;99999;20;
