Abschluss3steller;Sortierschlüssel;Name;Gültig ab;Gültig bis;Abschluss2steller;
233;202520;LA Bachelor Grundschulen / Sekundarstufe I - Zweitstudium;20072;99999;33;
234;251020;LA Bachelor Realschulen - Zweitstudium;20072;99999;34;
235;252520;LA Bachelor Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Zweitstudium;20072;99999;35;
236;254020;LA Bachelor Mittelstufe / Sekundarstufe I - Zweitstudium;20072;99999;36;
237;301020;LA Bachelor Sekundarstufe II / Sekundarstufe I - Zweitstudium;20072;99999;37;
238;351020;LA Bachelor Gymnasien - Zweitstudium;20072;99999;38;
239;352520;LA Bachelor Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Zweitstudium;20072;99999;39;
240;202020;LA Grundschulen / Sekundarstufe I - Zweitstudium;20072;99999;40;
241;300520;LA Sekundarstufe II / Sekundarstufe I - Zweitstudium;20072;99999;41;
242;155020;LA Grundstufe / Primarstufe - Zweitstudium;20072;99999;42;
243;253520;LA Mittelstufe / Sekundarstufe I - Zweitstudium;20072;99999;43;
244;352020;LA Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Zweitstudium;20072;99999;44;
245;452020;LA Oberstufe / Sekundarstufe II, berufliche Schulen - Zweitstudium;20072;99999;45;
246;401020;LA Bachelor Sonderschulen / Förderschulen - Zweitstudium;20072;99999;46;
247;451020;LA Bachelor Berufliche Schulen - Zweitstudium;20072;99999;47;
248;452520;LA Bachelor Oberstufe / Sekundarstufe II, berufliche Schulen - Zweitstudium;20072;99999;48;
249;153020;LA Master Grundschulen  - Zweitstudium;20072;99999;49;
250;250420;LA Master Hauptschulen  - Zweitstudium;20222;99999;50;
251;600520;Diplom (FH) - Zweitstudium;20072;99999;51;
252;156020;LA Master Grundstufe / Primarstufe  - Zweitstudium;20072;99999;52;
253;601020;Diplom (FH) - Dolmetscher - Zweitstudium;20072;99999;53;
254;601520;Diplom (FH) - Übersetzer - Zweitstudium;20072;99999;54;
255;201520;LA Master Sekundarstufe I / Primarstufe  - Zweitstudium;20072;99999;55;
256;602020;Staatl. Laufbahnprüfung (VerwFH) - Zweitstudium;20072;99999;56;
257;203020;LA Master Grundschulen / Sekundarstufe I - Zweitstudium;20072;99999;57;
258;251520;LA Master Realschulen - Zweitstudium;20072;99999;58;
259;604020;Sonstiger FH - Abschluss - Zweitstudium;20072;99999;59;
260;253020;LA Master Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien  - Zweitstudium;20072;99999;60;
261;254520;LA Master Mittelstufe / Sekundarstufe I  - Zweitstudium;20072;99999;61;
262;301520;LA Master Sekundarstufe II / Sekundarstufe I  - Zweitstudium;20072;99999;62;
263;353020;LA Master Oberstufe / Sekundarstufe II, allgemeinbildende Schulen  - Zweitstudium;20072;99999;63;
264;351520;LA Master Gymnasien  - Zweitstudium;20072;99999;64;
265;401520;LA Master Sonderschulen / Förderschulen - Zweitstudium;20072;99999;65;
266;451520;LA Master Berufliche Schulen  - Zweitstudium;20072;99999;66;
267;453020;LA Master Oberstufe / Sekundarstufe II, berufliche Schulen - Zweitstudium;20072;99999;67;
268;051020;Mehr-Fächer-Bachelor ohne Lehramtsoption  - Zweitstudium;20102;99999;68;
269;051520;Mehr-Fächer-Master - Zweitstudium;20102;99999;69;
270;554020;Staatl. Prüfung für künstlerische Abschlüsse - Zweitstudium;20072;99999;70;
271;551520;Bühnen- / Konzert- / Opernreifeprüfung - Zweitstudium;20072;99999;71;
272;552020;Privatmusiklehrerprüfung - Zweitstudium;20072;99999;72;
273;552520;Kirchenmusikprüfung A - Zweitstudium;20072;99999;73;
274;553020;Kirchenmusikprüfung B - Zweitstudium;20072;99999;74;
275;550520;Diplom (KH) - Zweitstudium;20072;99999;75;
276;554520;Meisterschüler - Zweitstudium;20072;99999;76;
277;555020;Kunstpädagogische Prüfung - Zweitstudium;20072;99999;77;
278;057520;Master (U) - Lehrer - Zweitstudium;20072;99999;78;
279;553520;Solistenprüfung  - Zweitstudium;20072;99999;79;
280;555520;Sonstiger künstlerischer Abschluss - Zweitstudium;20072;99999;80;
281;551020;Akademiebrief (KH) - Zweitstudium;20072;99999;81;
282;058520;Bachelor an Universitäten - Zweitstudium;20072;99999;82;
283;556020;Bachelor an Kunsthochschulen - Zweitstudium;20072;99999;83;
284;602520;Bachelor an Fachhochschulen - Zweitstudium;20072;99999;84;
288;059520;Master an Universitäten (Abschlussprüfung vorausgesetzt) - Zweitstudium;20072;99999;88;
289;557020;Master an Kunsthochschulen (Abschlussprüfung vorausgesetzt) - Zweitstudium;20072;99999;89;
290;603520;Master an Fachhochschulen (Abschlussprüfung vorausgesetzt) - Zweitstudium;20072;99999;90;
293;057020;Bachelor (U) - Lehrer - Zweitstudium;20072;99999;93;
294;650520;Abschlusszeugnis / Zertifikat - Zweitstudium;20072;99999;94;
295;651020;Sonstiger Abschluss in Deutschland - Zweitstudium;20072;99999;95;
296;651520;Abschlussprüfung im Ausland - Zweitstudium;20072;99999;96;
298;200220;LA Bachelor Grund- und Hauptschulen - Zweitstudium;20222;99999;98;
299;200420;LA Master Grund- und Hauptschulen  - Zweitstudium;20222;99999;99;
301;051230;Mehr-Fächer-Bachelor mit Lehramtsoption  - Aufbaustudium;20102;99999;01;
302;050530;Magister - Aufbaustudium;20072;99999;02;
303;052030;Lizentiat - Aufbaustudium;20072;99999;03;
308;053030;Staatsexamen / 1. Staatsprüfung - Aufbaustudium;20072;99999;08;
311;054530;Diplom (U) - Aufbaustudium;20072;99999;11;
317;059930;Abschlussprüfung ohne akad. Grad - Aufbaustudium;20072;99999;17;
323;250530;LA Realschulen - Aufbaustudium;20072;99999;23;
324;252030;LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Aufbaustudium;20072;99999;24;
325;350530;LA Gymnasien - Aufbaustudium;20072;99999;25;
326;400530;LA Sonderschulen / Förderschulen - Aufbaustudium;20072;99999;26;
329;500530;Sonstige Staatsprüfungen nach Schularten / Schulstufen - Aufbaustudium;20072;99999;29;
330;480530;LA Master (soweit keine Differenzierung möglich) - Aufbaustudium;20072;99999;30;
331;470530;LA Bachelor (soweit keine Differenzierung möglich) - Aufbaustudium;20072;99999;31;
349;153030;LA Master Grundschulen - Aufbaustudium;20092;99999;49;
350;250430;LA Master Hauptschulen - Aufbaustudium;20222;99999;50;
351;600530;Diplom (FH) - Aufbaustudium;20072;99999;51;
352;156030;LA Master Grundstufe / Primarstufe - Aufbaustudium;20092;99999;52;
353;601030;Diplom (FH) - Dolmetscher - Aufbaustudium;20072;99999;53;
354;601530;Diplom (FH) - Übersetzer - Aufbaustudium;20072;99999;54;
355;201530;LA Master Sekundarstufe I / Primarstufe - Aufbaustudium;20092;99999;55;
357;203030;LA Master Grundschulen / Sekundarstufe I - Aufbaustudium;20092;99999;57;
358;251530;LA Master Realschulen - Aufbaustudium;20092;99999;58;
359;604030;Sonstiger FH - Abschluss - Aufbaustudium;20072;99999;59;
360;253030;LA Master Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Aufbaustudium;20092;99999;60;
361;254530;LA Master Mittelstufe / Sekundarstufe I - Aufbaustudium;20092;99999;61;
362;301530;LA Master Sekundarstufe II / Sekundarstufe I - Aufbaustudium;20092;99999;62;
363;353030;LA Master Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Aufbaustudium;20092;99999;63;
364;351530;LA Master Gymnasium - Aufbaustudium;20092;99999;64;
365;401530;LA Master Sonderschulen / Förderschulen - Aufbaustudium;20092;99999;65;
366;451530;LA Master Berufliche Schulen - Aufbaustudium;20082;99999;66;
367;453030;LA Master Oberstufe / Sekundarstufe II, berufliche Schulen - Aufbaustudium;20092;99999;67;
368;051030;Mehr-Fächer-Bachelor ohne Lehramtsoption  - Aufbaustudium;20102;99999;68;
369;051530;Mehr-Fächer-Master - Aufbaustudium;20102;99999;69;
371;551530;Bühnen- / Konzert- / Opernreifeprüfung - Aufbaustudium;20072;99999;71;
372;552030;Privatmusiklehrerprüfung - Aufbaustudium;20072;99999;72;
373;552530;Kirchenmusikprüfung A - Aufbaustudium;20072;99999;73;
375;550530;Diplom (KH) - Aufbaustudium;20072;99999;75;
376;554530;Meisterschüler - Aufbaustudium;20072;99999;76;
378;057530;Master (U) - Lehrer - Aufbaustudium;20102;99999;78;
379;553530;Solistenprüfung  - Aufbaustudium;20072;99999;79;
380;555530;Sonstiger künstlerischer Abschluss - Aufbaustudium;20072;99999;80;
381;551030;Akademiebrief (KH) - Aufbaustudium;20102;99999;81;
388;059530;Master an Universitäten (Abschlussprüfung vorausgesetzt) - Aufbaustudium;20072;99999;88;
389;557030;Master an Kunsthochschulen (Abschlussprüfung vorausgesetzt) - Aufbaustudium;20072;99999;89;
390;603530;Master an Fachhochschulen (Abschlussprüfung vorausgesetzt) - Aufbaustudium;20072;99999;90;
394;650530;Abschlusszeugnis / Zertifikat - Aufbaustudium;20072;99999;94;
395;651030;Sonstiger Abschluss in Deutschland - Aufbaustudium;20072;99999;95;
396;651530;Abschlussprüfung im Ausland - Aufbaustudium;20072;99999;96;
399;200430;LA Master Grund- und Hauptschulen - Aufbaustudium;20222;99999;99;
401;051240;Mehr-Fächer-Bachelor mit Lehramtsoption - Ergänzungs-, Erweiterungs- und Zusatzstudium;20212;99999;01;
402;050540;Magister - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;02;
403;052040;Lizentiat - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;03;
405;056540;Akad. geprüfter Übersetzer - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;05;
411;054540;Diplom (U) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;11;
412;055540;Diplom (U) - Dolmetscher - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;12;
413;056040;Diplom (U) - Übersetzer - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;13;
415;152540;LA Bachelor Grundschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;15;
416;250240;LA Bachelor Hauptschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20222;99999;16;
418;058040;Diplom (U) - Lehrer - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;18;
419;155540;LA Bachelor Grundstufe / Primarstufe - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;19;
420;200040;LA Grund- und Hauptschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20222;99999;20;
421;152040;LA Grundschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;21;
422;250040;LA Hauptschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20222;99999;22;
423;250540;LA Realschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;23;
424;252040;LA Haupt- und Realsch. / Unterst. und Mittelst. Gym. - Ergänzungs-, Erweiterungs- und Zusatzstud.;20072;99999;24;
425;350540;LA Gymnasien - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;25;
426;400540;LA Sonderschulen / Förderschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;26;
427;450540;LA Berufliche Schulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;27;
428;200540;LA Sekundarstufe I / Primarstufe - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;28;
429;500540;Sonstige Staatsprüfungen nach Schularten / Schulst. - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;29;
430;480540;LA Master (soweit keine Differenzierung möglich) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;30;
431;470540;LA Bachelor (soweit keine Differenzierung möglich) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;31;
432;201040;LA Bachelor Sekundarstufe I / Primarstufe - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;32;
433;202540;LA Bachelor Grundschulen / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;33;
434;251040;LA Bachelor Realschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;34;
435;252540;LA Bachelor Haupt- u. Realsch./Unterst. u. Mittelst. Gym.-Ergänzungs-, Erweiterungs- und Zusatzstud.;20072;99999;35;
436;254040;LA Bachelor Mittelstufe / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;36;
437;301040;LA Bachelor Sekundarstufe II / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;37;
438;351040;LA Bachelor Gymnasien - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;38;
439;352540;LA Bachelor Oberst. / Sekundarst. II, allgemeinb. Schulen - Ergänzungs-, Erweiterungs- und Zusatzst.;20072;99999;39;
440;202040;LA Grundschulen / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;40;
441;300540;LA Sekundarstufe II / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;41;
442;155040;LA Grundstufe / Primarstufe - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;42;
443;253540;LA Mittelstufe / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;43;
444;352040;LA Oberst. / Sekundarst. II, allgemeinb. Schulen - Ergänzungs-, Erweiterungs- und Zusatzst.;20072;99999;44;
445;452040;LA Oberstufe / Sekundarstufe II, berufliche Schulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;45;
446;401040;LA Bachelor Sonderschulen / Förderschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;46;
447;451040;LA Bachelor Berufliche Schulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;47;
448;452540;LA Bachelor Oberst. / Sekundarst. II, berufliche Schulen - Ergänzungs-, Erweiterungs- und Zusatzst.;20072;99999;48;
449;153040;LA Master Grundschulen  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;49;
450;250440;LA Master Hauptschulen  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20222;99999;50;
451;600540;Diplom (FH) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;51;
452;156040;LA Master Grundstufe / Primarstufe  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;52;
455;201540;LA Master Sekundarstufe I / Primarstufe  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;55;
457;203040;LA Master Grundschulen / Sekundarstufe I - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;57;
458;251540;LA Master Realschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;58;
459;604040;Sonstiger FH - Abschluss - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;59;
460;253040;LA Master Haupt- und Realsch./Unterst. und Mittelst. Gym. - Ergänzungs-, Erweiterungs- und Zusatzst.;20072;99999;60;
461;254540;LA Master Mittelstufe / Sekundarstufe I  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;61;
462;301540;LA Master Sekundarstufe II / Sekundarstufe I  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;62;
463;353040;LA Master Oberst. / Sekundarst. II, allgemeinb. Schulen  - Ergänzungs-, Erweiterungs- und Zusatzst.;20072;99999;63;
464;351540;LA Master Gymnasien  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;64;
465;401540;LA Master Sonderschulen / Förderschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;65;
466;451540;LA Master Berufliche Schulen  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;66;
467;453040;LA Master Oberst. / Sekundarst. II, berufliche Schulen - Ergänzungs-, Erweiterungs- und Zusatzst.;20072;99999;67;
468;051040;Mehr-Fächer-Bachelor ohne Lehramtsoption - Ergänzungs-, Erweiterungs- und Zusatzstudium;20192;99999;68;
469;051540;Mehr-Fächer-Master - Ergänzungs-, Erweiterungs- und Zusatzstudium;20102;99999;69;
472;552040;Privatmusiklehrerprüfung - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;72;
474;553040;Kirchenmusikprüfung B - Ergänzungs-, Erweiterungs- und Zusatzstudium;20081;99999;74;
475;550540;Diplom (KH) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;75;
477;555040;Kunstpädagogische Prüfung - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;77;
478;057540;Master (U) - Lehrer - Ergänzungs-, Erweiterungs- und Zusatzstudium;20122;99999;78;
480;555540;Sonstiger künstlerischer Abschluss - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;80;
482;058540;Bachelor an Universitäten - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;82;
484;602540;Bachelor an Fachhochschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;84;
488;059540;Master an Universitäten (Abschlussprüfung vorausge.) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;88;
489;557040;Master an Kunsthochschulen (Abschlussprüfung vorausgesetzt) - Ergänzungs-, Erweiterungs- und Zusatzs;20092;99999;89;
490;603540;Master an Fachhochschulen (Abschlusspr. vorausge.) - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;90;
494;650540;Abschlusszeugnis / Zertifikat - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;94;
495;651040;Sonstiger Abschluss in Deutschland - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;95;
496;651540;Abschlussprüfung im Ausland - Ergänzungs-, Erweiterungs- und Zusatzstudium;20072;99999;96;
498;200240;LA Bachelor Grund- und Hauptschulen - Ergänzungs-, Erweiterungs- und Zusatzstudium;20222;99999;98;
499;200440;LA Master Grund- und Hauptschulen  - Ergänzungs-, Erweiterungs- und Zusatzstudium;20222;99999;99;
506;100550;Promotion (Abschlussprüfung vorausgesetzt) - Promotion;20072;99999;06;
507;102050;Promotion ohne vorausgesetzte Abschlussprüfung - Promotionsstudium;20072;99999;07;
591;101550;Promotion (Abschlussprüfung vorausgesetzt) - Strukturiertes Promotionsstudium;20072;99999;91;
592;101050;Promotion (Abschlussprüfung vorausgesetzt) - Promotion nach FH-Abschluss bzw. wiss. Kurzstudium;20072;99999;92;
596;651550;Abschlussprüfung im Ausland - Promotionsstudium;20072;99999;96;
601;051260;Mehr-Fächer-Bachelor mit Lehramtsoption – Weiterbildungsstudium;20102;99999;01;
602;050560;Magister - Weiterbildungsstudium;20072;99999;02;
608;053060;Staatsexamen / 1. Staatsprüfung - Weiterbildungsstudium;20072;99999;08;
611;054560;Diplom (U) - Weiterbildungsstudium;20072;99999;11;
629;500560;Sonstige Staatsprüfungen nach Schularten / Schulstufen - Weiterbildungsstudium;20072;99999;29;
630;480560;LA Master (soweit keine Differenzierung möglich) - Weiterbildungsstudium;20072;99999;30;
631;470560;LA Bachelor (soweit keine Differenzierung möglich) - Weiterbildungsstudium;20072;99999;31;
649;153060;LA Master Grundschulen - Weiterbildungsstudium;20092;99999;49;
650;250460;LA Master Hauptschulen - Weiterbildungsstudium;20222;99999;50;
651;600560;Diplom (FH) - Weiterbildungsstudium;20072;99999;51;
652;156060;LA Master Grundstufe / Primarstufe - Weiterbildungsstudium;20092;99999;52;
655;201560;LA Master Sekundarstufe I / Primarstufe - Weiterbildungsstudium;20092;99999;55;
657;203060;LA Master Grundschulen / Sekundarstufe I - Weiterbildungsstudium;20092;99999;57;
658;251560;LA Master Realschulen - Weiterbildungsstudium;20092;99999;58;
659;604060;Sonstiger FH - Abschluss - Weiterbildungsstudium;20072;99999;59;
660;253060;LA Master Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Weiterbildungsstudium;20092;99999;60;
661;254560;LA Master Mittelstufe / Sekundarstufe I - Weiterbildungsstudium;20092;99999;61;
