Staat;Sortierschlüssel;Name;Gültig ab;Gültig bis;Kontinent;Mitglied der EU;
323;3025;Argentinien;20042;99999;3;0;
324;3050;Bahamas;20042;99999;3;0;
325;3905;Puerto Rico (US-Überseegebiet);20142;99999;3;0;
326;3125;Bolivien;20042;99999;3;0;
327;3150;Brasilien;20042;99999;3;0;
328;3375;Guyana;20042;99999;3;0;
329;3955;St. Barthélemy (Französisches Überseegebiet);20142;99999;3;0;
330;3100;Belize;20042;99999;3;0;
331;3960;St. Martin (französischer Teil) (Französisches Überseegebiet);20172;99999;3;0;
332;3175;Chile;20042;99999;3;0;
333;3225;Dominica;20042;99999;3;0;
334;3200;Costa Rica;20042;99999;3;0;
335;3250;Dominikanische Republik;20042;99999;3;0;
336;3275;Ecuador;20042;99999;3;0;
337;3300;El Salvador;20042;99999;3;0;
338;3965;St. Pierre und Miquelon (Französisches Überseegebiet);20142;99999;3;0;
340;3325;Grenada;20042;99999;3;0;
341;3925;St. Martin (niederländischer Teil) (Niederländisches Überseegebiet);20142;99999;3;0;
342;3930;Grönland (Dänisches Überseegebiet);20142;99999;3;0;
343;3970;Navassa (US-Überseegebiet);20142;99999;3;0;
344;3915;Bonaire, Saba, St. Eustatius (Niederländisches Überseegebiet);20142;99999;3;0;
345;3350;Guatemala;20042;99999;3;0;
346;3400;Haiti;20042;99999;3;0;
347;3425;Honduras;20042;99999;3;0;
348;3475;Kanada;20042;99999;3;0;
349;3500;Kolumbien;20042;99999;3;0;
351;3525;Kuba;20042;99999;3;0;
352;3935;Clipperton (Französisches Überseegebiet);20142;99999;3;0;
353;3550;Mexiko;20042;99999;3;0;
354;3575;Nicaragua;20042;99999;3;0;
355;3450;Jamaika;20042;99999;3;0;
357;3600;Panama;20042;99999;3;0;
359;3625;Paraguay;20042;99999;3;0;
361;3650;Peru;20042;99999;3;0;
364;3750;Suriname;20042;99999;3;0;
365;3800;Uruguay;20042;99999;3;0;
366;3700;St. Lucia;20042;99999;3;0;
367;3825;Venezuela;20042;99999;3;0;
368;3850;Vereinigte Staaten;20042;99999;3;0;
369;3725;St. Vincent und die Grenadinen;20042;99999;3;0;
370;3675;St. Kitts und Nevis;20042;99999;3;0;
371;3775;Trinidad und Tobago;20042;99999;3;0;
411;4170;Hongkong;20142;99999;4;0;
412;4510;Macau;20142;99999;4;0;
421;4300;Jemen;20042;99999;4;0;
422;4020;Armenien;20042;99999;4;0;
423;4000;Afghanistan;20042;99999;4;0;
424;4060;Bahrain;20042;99999;4;0;
425;4040;Aserbaidschan;20042;99999;4;0;
426;4100;Bhutan;20042;99999;4;0;
427;4580;Myanmar;20042;99999;4;0;
429;4120;Brunei Darussalam;20042;99999;4;0;
430;4160;Georgien;20042;99999;4;0;
431;4740;Sri Lanka;20042;99999;4;0;
432;4900;Vietnam;20042;99999;4;0;
434;4420;Korea, Dem. Volksrepublik;20042;99999;4;0;
436;4180;Indien;20042;99999;4;0;
437;4200;Indonesien;20042;99999;4;0;
438;4220;Irak;20042;99999;4;0;
439;4240;Iran, Islamische Republik;20042;99999;4;0;
441;4260;Israel;20042;99999;4;0;
442;4280;Japan;20042;99999;4;0;
444;4360;Kasachstan;20042;99999;4;0;
445;4320;Jordanien;20042;99999;4;0;
446;4340;Kambodscha;20042;99999;4;0;
447;4380;Katar;20042;99999;4;0;
448;4460;Kuwait;20042;99999;4;0;
449;4480;Laos, Dem. Volksrepublik;20042;99999;4;0;
450;4400;Kirgisistan;20042;99999;4;0;
451;4500;Libanon;20042;99999;4;0;
454;4540;Malediven;20042;99999;4;0;
456;4620;Oman;20042;99999;4;0;
457;4560;Mongolei;20042;99999;4;0;
458;4600;Nepal;20042;99999;4;0;
459;4950;Palästinensische Gebiete;20132;99999;4;0;
460;4080;Bangladesch;20042;99999;4;0;
461;4660;Pakistan;20042;99999;4;0;
462;4680;Philippinen;20042;99999;4;0;
465;4800;Taiwan;20132;99999;4;0;
467;4440;Korea, Republik;20042;99999;4;0;
469;4880;Vereinigte Arabische Emirate;20042;99999;4;0;
470;4780;Tadschikistan;20042;99999;4;0;
471;4840;Turkmenistan;20042;99999;4;0;
472;4700;Saudi-Arabien;20042;99999;4;0;
474;4720;Singapur;20042;99999;4;0;
475;4760;Syrien, Arab. Republik;20042;99999;4;0;
476;4820;Thailand;20042;99999;4;0;
477;4860;Usbekistan;20042;99999;4;0;
479;4140;China;20132;99999;4;0;
482;4520;Malaysia;20042;99999;4;0;
483;4830;Timor-Leste;20072;99999;4;0;
499;4980;Übriges Asien;20132;99999;4;0;
510;5865;Heard und McDonaldinseln (Australisches Überseegebiet);20142;99999;5;0;
511;5875;Korallenmeerinseln (Australisches Überseegebiet);20142;99999;5;0;
512;5870;Kokosinseln (Australisches Überseegebiet);20142;99999;5;0;
513;5900;Neukaledonien (Französisches Überseegebiet);20142;99999;5;0;
514;5835;Nördliche Marianen (US-Überseegebiet);20142;99999;5;0;
515;5880;Norfolkinsel (Australisches Überseegebiet);20142;99999;5;0;
517;5820;Amerikanisch-Samoa (US-Überseegebiet);20142;99999;5;0;
519;5815;Tokelau (Neuseeländisches Überseegebiet);20142;99999;5;0;
520;5905;Wallis und Futuna (Französisches Überseegebiet);20142;99999;5;0;
521;5885;Weihnachtsinsel (Australisches Überseegebiet);20142;99999;5;0;
522;5845;Bouvetinsel (Norwegisches Überseegebiet);20142;99999;5;0;
523;5000;Australien;20042;99999;5;0;
524;5550;Salomonen;20042;99999;5;0;
525;5855;Ashmore- und Cartierinseln (Australisches Überseegebiet);20142;99999;5;0;
526;5100;Fidschi;20042;99999;5;0;
527;5050;Cookinseln;20042;99999;5;0;
528;5890;Französisch-Polynesien (Französisches Überseegebiet);20142;99999;5;0;
529;5825;Guam (US-Überseegebiet);20142;99999;5;0;
530;5150;Kiribati;20042;99999;5;0;
531;5300;Nauru;20042;99999;5;0;
532;5750;Vanuatu;20042;99999;5;0;
533;5400;Niue;20042;99999;5;0;
534;5840;Kleinere Amerikanische Überseeinseln (US-Überseegebiet);20142;99999;5;0;
535;5850;Norwegisches Antarktis-Territorium (Norwegisches Überseegebiet);20142;99999;5;0;
536;5350;Neuseeland;20042;99999;5;0;
537;5450;Palau;20042;99999;5;0;
538;5500;Papua-Neuguinea;20042;99999;5;0;
540;5700;Tuvalu;20042;99999;5;0;
541;5650;Tonga;20042;99999;5;0;
542;5895;Französische Süd- und Antarktisgebiete (Französisches Überseegebiet);20142;99999;5;0;
543;5600;Samoa;20042;99999;5;0;
544;5200;Marshallinseln;20042;99999;5;0;
545;5250;Mikronesien;20042;99999;5;0;
546;5805;Chilenische Antarktis (Chilenisches Überseegebiet);20142;99999;5;0;
547;5860;Australisches Antarktis-Territorium (Australisches Überseegebiet);20142;99999;5;0;
548;5800;Argentinische Antarktis (Argentinisches Überseegebiet);20142;99999;5;0;
549;5810;Neuseeländische Antarktis: Ross-Nebengebiet (Neuseeländisches Überseegebiet);20142;99999;5;0;
997;9000;Staatenlos;20042;99999;9;0;
998;9200;Ungeklärt;20042;99999;9;0;
999;9400;Ohne Angabe;20042;99999;9;0;
